,제휴사,대분류코드,중분류코드,소분류코드,중분류명,소분류명,대분류카테고리
118,D,6,0601,D060105,미용소품,메이크업브러쉬,생활잡화 /뷰티
119,D,6,0601,D060104,미용소품,속눈썹/쌍꺼풀,생활잡화 /뷰티
120,D,6,0601,D060103,미용소품,메탈미용소도구,생활잡화 /뷰티
121,D,6,0601,D060102,미용소품,기름종이,생활잡화 /뷰티
122,D,6,0601,D060101,미용소품,여성헤어액세서리,생활잡화 /뷰티
123,D,6,0602,D060203,양말류,여성타이즈,생활잡화 /뷰티
124,D,6,0608,D060801,계절팩,손난로/핫팩,생활잡화 /뷰티
125,D,6,0607,D060701,여행용품,여행용소품,생활잡화 /뷰티
126,D,6,0606,D060601,안전용품,보안용품,생활잡화 /뷰티
127,D,6,0605,D060502,전기용품,이어폰/헤드폰,생활잡화 /뷰티
128,D,6,0605,D060501,전기용품,건전지,생활잡화 /뷰티
129,D,6,0604,D060401,파티/팬시용품,기타파티/팬시용품,생활잡화 /뷰티
130,D,6,0603,D060302,우산/양산류,우비,생활잡화 /뷰티
131,D,6,0603,D060301,우산/양산류,장우산,생활잡화 /뷰티
132,D,7,0702,D070201,남성,남성향수,생활잡화 /뷰티
133,D,7,0701,D070101,여성,여성향수,생활잡화 /뷰티
134,D,8,0803,D080302,립메이크업,립글로즈/틴트,생활잡화 /뷰티
135,D,8,0803,D080301,립메이크업,립스틱/립라이너,생활잡화 /뷰티
136,D,8,0804,D080401,네일메이크업,일반네일/케어류,생활잡화 /뷰티
137,D,8,0802,D080204,아이메이크업,아이섀도우,생활잡화 /뷰티
138,D,8,0802,D080203,아이메이크업,마스카라,생활잡화 /뷰티
139,D,8,0802,D080202,아이메이크업,아이브로우,생활잡화 /뷰티
140,D,8,0802,D080201,아이메이크업,아이라이너,생활잡화 /뷰티
141,D,8,0801,D080103,베이스메이크업,블러셔/쉐이딩/하이라이터,생활잡화 /뷰티
142,D,8,0801,D080102,베이스메이크업,BB/파운데이션/컴팩트류,생활잡화 /뷰티
143,D,8,0801,D080101,베이스메이크업,메이크업베이스/프라이머,생활잡화 /뷰티
144,D,8,0802,D080205,아이메이크업,메이크업세트,생활잡화 /뷰티
