,성별,구매일자,대분류코드,구매금액
174,F,201411,5,174712286
175,F,201411,6,39909777
176,F,201411,7,88967695
177,F,201411,8,45716821
178,F,201411,9,26508992
179,F,201411,10,27972370
180,F,201411,11,87897940
181,F,201411,12,59462090
182,F,201411,13,113932820
183,F,201411,14,48815105
184,F,201411,15,259566229
185,F,201411,16,115682225
186,F,201411,17,93504765
187,F,201412,1,135653388
188,F,201412,2,64467990
189,F,201412,3,162820179
190,F,201412,4,92619382
191,F,201412,5,199847830
192,F,201412,6,48496709
193,F,201412,7,90897081
194,F,201412,8,47705465
195,F,201412,9,37357452
196,F,201412,10,35592130
197,F,201412,11,47199446
198,F,201412,12,68782790
199,F,201412,13,149108540
200,F,201412,14,43287740
201,F,201412,15,266442096
202,F,201412,16,112261490
203,F,201412,17,96606900
204,F,201501,1,155598276
205,F,201501,2,60514414
206,F,201501,3,177458118
207,F,201501,4,93736442
208,F,201501,5,194941646
209,F,201501,6,45397372
210,F,201501,7,99840781
211,F,201501,8,50260260
212,F,201501,9,31978816
213,F,201501,10,34505680
214,F,201501,11,48165570
215,F,201501,12,65194030
216,F,201501,13,180420170
217,F,201501,14,72865550
218,F,201501,15,195872016
219,F,201501,16,118748300
220,F,201501,17,74132820
221,F,201502,1,185515722
222,F,201502,2,62860149
223,F,201502,3,166724375
224,F,201502,4,88173136
225,F,201502,5,210227857
226,F,201502,6,35680229
227,F,201502,7,84090925
228,F,201502,8,42053180
229,F,201502,9,27733984
230,F,201502,10,33236320
231,F,201502,11,54765670
232,F,201502,12,64666760
233,F,201502,13,253003530
234,F,201502,14,65474805
235,F,201502,15,198444532
236,F,201502,16,122931195
237,F,201502,17,65474080
238,F,201503,1,161022383
239,F,201503,2,55483347
240,F,201503,3,177667830
241,F,201503,4,80502582
242,F,201503,5,179259330
243,F,201503,6,42438498
244,F,201503,7,100750710
245,F,201503,8,44019055
246,F,201503,9,29852200
247,F,201503,10,30735475
248,F,201503,11,63734010
249,F,201503,12,64863540
250,F,201503,13,195467430
251,F,201503,14,40600740
252,F,201503,15,216754935
253,F,201503,16,162874210
254,F,201503,17,81098279
255,F,201504,1,164173001
256,F,201504,2,69250710
257,F,201504,3,164981602
258,F,201504,4,74270342
259,F,201504,5,177956578
260,F,201504,6,34655410
261,F,201504,7,99748826
262,F,201504,8,47463300
263,F,201504,9,41179632
264,F,201504,10,32651780
265,F,201504,11,61192605
266,F,201504,12,65650190
267,F,201504,13,114206660
268,F,201504,14,48321645
269,F,201504,15,198792636
270,F,201504,16,113269620
271,F,201504,17,83791506
272,F,201505,1,165729207
273,F,201505,2,58506420
274,F,201505,3,173939732
275,F,201505,4,74954779
276,F,201505,5,187922765
277,F,201505,6,36379568
278,F,201505,7,101227684
279,F,201505,8,47088620
280,F,201505,9,48789714
281,F,201505,10,35303430
282,F,201505,11,68202895
283,F,201505,12,75331180
284,F,201505,13,226196910
285,F,201505,14,58285030
286,F,201505,15,188393050
287,F,201505,16,141792640
288,F,201505,17,79481640
289,F,201506,1,161817147
290,F,201506,2,69451945
291,F,201506,3,170920863
292,F,201506,4,65183672
293,F,201506,5,181974762
294,F,201506,6,35665634
295,F,201506,7,107714735
296,F,201506,8,46042980
297,F,201506,9,52640092
298,F,201506,10,35590450
299,F,201506,11,69512218
300,F,201506,12,75108456
301,F,201506,13,134558250
302,F,201506,14,95152960
303,F,201506,15,134785147
304,F,201506,16,138463770
305,F,201506,17,88407317
306,F,201507,1,161481341
307,F,201507,2,60705452
308,F,201507,3,158886951
309,F,201507,4,71201234
310,F,201507,5,200647471
311,F,201507,6,39093325
312,F,201507,7,107402840
313,F,201507,8,45665395
314,F,201507,9,54366250
315,F,201507,10,34367960
316,F,201507,11,67362554
317,F,201507,12,70609546
318,F,201507,13,118401852
319,F,201507,14,67428390
320,F,201507,15,190286318
321,F,201507,16,124734060
322,F,201507,17,82609273
323,F,201508,1,158954630
324,F,201508,2,60825668
325,F,201508,3,155430743
326,F,201508,4,75280841
327,F,201508,5,182321974
328,F,201508,6,38993244
329,F,201508,7,105633622
330,F,201508,8,47881070
331,F,201508,9,51364613
332,F,201508,10,36705000
333,F,201508,11,69414290
334,F,201508,12,72691000
335,F,201508,13,189854470
336,F,201508,14,75790890
337,F,201508,15,157779438
338,F,201508,16,153818453
339,F,201508,17,69117610
340,F,201509,1,169899944
341,F,201509,2,56982900
342,F,201509,3,163414587
343,F,201509,4,91492306
344,F,201509,5,267461507
345,F,201509,6,43680279
346,F,201509,7,93360005
347,F,201509,8,47114312
348,F,201509,9,32962864
349,F,201509,10,33795450
350,F,201509,11,68703860
351,F,201509,12,74279250
352,F,201509,13,280226970
353,F,201509,14,97028910
354,F,201509,15,157585672
355,F,201509,16,185322540
356,F,201509,17,68563940
357,F,201510,1,102761305
358,F,201510,2,75170155
359,F,201510,3,151470247
360,F,201510,4,85049343
361,F,201510,5,216385715
362,F,201510,6,42569254
363,F,201510,7,94389690
364,F,201510,8,47881155
365,F,201510,9,29507866
366,F,201510,10,32545535
367,F,201510,11,58729530
368,F,201510,12,67100656
369,F,201510,13,136155960
370,F,201510,14,53068060
371,F,201510,15,196454068
372,F,201510,16,233999830
373,F,201510,17,78269085
374,F,201511,1,101804976
375,F,201511,2,57181363
376,F,201511,3,164537268
377,F,201511,4,82051509
378,F,201511,5,214031890
379,F,201511,6,42787351
380,F,201511,7,82373400
381,F,201511,8,39682840
382,F,201511,9,22907672
383,F,201511,10,30549390
384,F,201511,11,45204572
385,F,201511,12,61478060
386,F,201511,13,104345849
387,F,201511,14,50692740
388,F,201511,15,204414084
389,F,201511,16,229080233
390,F,201511,17,81030238
391,F,201512,1,115356477
392,F,201512,2,57369264
393,F,201512,3,148489871
394,F,201512,4,80761325
395,F,201512,5,194760528
396,F,201512,6,45257052
397,F,201512,7,82882995
398,F,201512,8,39379747
399,F,201512,9,27298810
400,F,201512,10,32418570
401,F,201512,11,42610560
402,F,201512,12,64104840
403,F,201512,13,115082320
404,F,201512,14,57932900
405,F,201512,15,243289047
406,F,201512,16,191888860
407,F,201512,17,78061960
